,Airport,Type,City,Country,IATA,ICAO,FAA
78,Five Finger CG,Heliport,Five Finger,United States,FIV,2AK3,2AK3
79,Fitzroy Crossing,Medium airport,,Australia,FIZ,YFTZ,
80,Fujairah International,Medium airport,,United Arab Emirates,FJR,OMFJ,
81,Karlsruhe Baden-Baden,Large airport,Baden-Baden,Germany,FKB,EDSB,
82,Sculthorp RAFClosed,Closed,Fakenham,United Kingdom,FKH,,
83,Bangoka International,Medium airport,Kisangani,Congo (Kinshasa),FKI,FZIC,
84,Fukui,Medium airport,,Japan,FKJ,RJNF,
85,Venango Regional,Medium airport,Franklin,United States,FKL,KFKL,FKL
86,Fakfak,Medium airport,Fakfak-Papua Island,Indonesia,FKQ,WASF,
87,Fukushima,Medium airport,Sukagawa,Japan,FKS,RJSF,
88,Gustavo Artunduaga Paredes,Medium airport,Florencia,Colombia,FLA,SKFL,
89,Cangapara,Small airport,Floriano,Brazil,FLB,SNQG,
90,Falls CreekClosed,Closed,Falls Creek,Australia,FLC,,
91,Fond du Lac County,Small airport,Fond du Lac,United States,FLD,KFLD,FLD
92,Fort Lee Army AirfieldClosed,Closed,Fort Lee,United States,FLE,,
93,Flensburg-Schäferhaus,Small airport,Flensburg,Germany,FLF,EDXF,
94,Flagstaff Pulliam,Medium airport,Flagstaff,United States,FLG,KFLG,FLG
95,Flotta Isle,Small airport,Flotta Isle,United Kingdom,FLH,EGZR,
96,Holt,Small airport,Flateyri,Iceland,FLI,BIHT,
97,Falls BayClosed,Closed,Falls Bay,United States,FLJ,,
98,Fort Lauderdale Hollywood International,Large airport,Fort Lauderdale,United States,FLL,KFLL,FLL
99,Filadelfia,Small airport,Filadelfia,Paraguay,FLM,SGFI,
0,Hercílio Luz International,Large airport,Florianópolis,Brazil,FLN,SBFL,
1,Florence Regional,Medium airport,Florence,United States,FLO,KFLO,FLO
2,Marion County Regional,Small airport,Flippin,United States,FLP,KFLP,FLP
3,Peretola,Medium airport,Firenze,Italy,FLR,LIRQ,
4,Flinders Island,Small airport,Flinders Island,Australia,FLS,YFLI,
5,Flat,Small airport,Flat,United States,FLT,FLT,FLT
6,FlushingClosed,Closed,Queens,United States,FLU,KFLU,
7,Sherman Army Air Field,Small airport,Fort Leavenworth,United States,FLV,KFLV,FLV
8,Flores,Medium airport,Santa Cruz das Flores,Portugal,FLW,LPFL,
9,Finley,Small airport,,Australia,FLY,YFIL,
10,Formosa,Medium airport,Formosa,Argentina,FMA,SARF,
11,Five MileClosed,Closed,Five Mile,United States,FMC,PAFV,
12,Tipton,Medium airport,Fort Meade(Odenton),United States,FME,KFME,FME
13,Flamingo,Small airport,Brasilito,Costa Rica,FMG,MRFL,
14,Cape Cod Coast Guard Air Station,Small airport,Falmouth,United States,FMH,KFMH,FMH
15,Kalemie,Medium airport,,Congo (Kinshasa),FMI,FZRF,
16,Memmingen Allgau,Medium airport,Memmingen,Germany,FMM,EDJA,
17,Four Corners Regional,Medium airport,Farmington,United States,FMN,KFMN,FMN
18,Münster Osnabrück,Large airport,Münster,Germany,FMO,EDDG,
19,Fort Madison Municipal,Small airport,Fort Madison,United States,FMS,KFSW,FSW
20,Florence Municipal,Small airport,Florence,United States,FMU,,6S2
21,Page Field,Medium airport,Fort Myers,United States,FMY,KFMY,FMY
22,Lungi International,Medium airport,Freetown,Sierra Leone,FNA,GFLL,
23,Neubrandenburg,Airport,Neubrandenburg,Germany,FNB,EDBN,
24,Madeira,Medium airport,Funchal,Portugal,FNC,LPMA,
25,Fane,Small airport,Fane Mission,Papua New Guinea,FNE,AYFA,
26,Fada N'gourma,Small airport,Fada N'gourma,Burkina Faso,FNG,DFEF,
27,Fincha,Small airport,Fincha,Ethiopia,FNH,HAFN,
28,Nîmes-Arles-Camargue,Medium airport,Nîmes/Garons,France,FNI,LFTW,
29,Pyongyang Sunan International,Medium airport,Pyongyang,North Korea,FNJ,ZKPY,
30,Fin CreekClosed,Closed,Fin Creek,United States,FNK,,
31,Fort Collins Loveland Municipal,Small airport,Fort Collins/Loveland,United States,FNL,KFNL,FNL
32,Funter Bay,Seaplane base,Funter Bay,United States,FNR,PANR,FNR
33,Bishop International,Medium airport,Flint,United States,FNT,KFNT,FNT
34,Oristano-Fenosu,Small airport,Oristano,Italy,FNU,LIER,
35,Foula,Small airport,Foula,United Kingdom,FOA,EGFO,
36,Fort Bragg,Small airport,Fort Bragg,United States,FOB,82CL,82CL
37,Fuzhou Changle International,Large airport,Fuzhou,China,FOC,ZSFZ,
38,Fort Dodge Regional,Medium airport,Fort Dodge,United States,FOD,KFOD,FOD
39,Topeka Regional - Forbes Field,Medium airport,Topeka,United States,FOE,KFOE,FOE
40,"Foggia ""Gino Lisa""",Medium airport,Foggia,Italy,FOG,LIBF,
41,Francis S Gabreski,Small airport,Westhampton Beach,United States,FOK,KFOK,FOK
42,Foumban Nkounja,Medium airport,Foumban,Cameroon,FOM,FKKM,
43,Arenal,Small airport,La Fortuna/San Carlos,Costa Rica,FON,MRAN,
44,Kornasoren Airfield,Small airport,Kornasoren-Numfoor Island,Indonesia,FOO,WABF,
45,Fort GillemClosed,Closed,Fort Gillem,United States,FOP,65GA,65GA
46,Pinto Martins International,Medium airport,Fortaleza,Brazil,FOR,SBFZ,
47,Forrest,Medium airport,,Australia,FOS,YFRT,
48,Forster (Wallis Is),Small airport,,Australia,FOT,YFST,
49,Fougamou,Small airport,Fougamou,Gabon,FOU,FOGF,
50,FoxClosed,Closed,Fox,United States,FOX,,
51,FoyaClosed,Closed,Foya,Liberia,FOY,,
52,Grand Bahama International,Medium airport,Freeport,Bahamas,FPO,MYGF,
53,St Lucie County International,Medium airport,Fort Pierce,United States,FPR,KFPR,FPR
54,Perry-Foley,Small airport,Perry,United States,FPY,40J,40J
55,Frankfurt am Main,Large airport,Frankfurt am Main,Germany,FRA,EDDF,
56,Forbes,Medium airport,Forbes,Australia,FRB,YFBS,
57,Franca,Small airport,Franca,Brazil,FRC,SIMK,
58,Friday Harbor,Small airport,Friday Harbor,United States,FRD,KFHR,FHR
59,Fera/Maringe,Small airport,Fera Island,Solomon Islands,FRE,AGGF,
60,Oschersleben Glider Field,Small airport,Oschersleben,Germany,FRF,EDOL,
61,Republic,Medium airport,Farmingdale,United States,FRG,KFRG,FRG
62,French Lick Municipal,Small airport,French Lick,United States,FRH,KFRH,FRH
63,Marshall Army Air Field,Medium airport,Fort Riley(Junction City),United States,FRI,KFRI,FRI
64,FréjusClosed,Closed,Fréjus,France,FRJ,LFTU,
65,Frégate Island,Small airport,Frégate Island,Seychelles,FRK,FSSF,
66,Forlì,Medium airport,Forlì (FC),Italy,FRL,LIPK,
67,Fairmont Municipal,Small airport,Fairmont,United States,FRM,KFRM,FRM
68,Bryant Army,Heliport,Fort Richardson(Anchorage),United States,FRN,PAFR,FRN
69,Florø,Medium airport,Florø,Norway,FRO,ENFL,
70,Fresh Water BayClosed,Closed,Fresh Water Bay,United States,FRP,,
71,Feramin,Small airport,Feramin,Papua New Guinea,FRQ,AYFE,
72,Front Royal Warren County,Small airport,Front Royal,United States,FRR,KFRR,FRR
73,Mundo Maya International,Medium airport,San Benito,Guatemala,FRS,,
74,El Avellano,Small airport,Frutillar,Chile,FRT,SCEV,
75,Manas International,Large airport,Bishkek,Kyrgyzstan,FRU,UCFM,
76,Francistown,Medium airport,Francistown,Botswana,FRW,FBFT,
77,Eastern Slopes Regional,Small airport,Fryeburg,United States,FRY,KIZG,IZG
78,Fritzlar,Medium airport,Fritzlar,Germany,FRZ,ETHF,
79,Figari Sud-Corse,Medium airport,Figari Sud-Corse,France,FSC,LFKF,
80,Joe Foss Field,Medium airport,Sioux Falls,United States,FSD,KFSD,FSD
81,Henry Post Army Air Field (Fort Sill),Medium airport,Fort Sill,United States,FSI,KFSI,FSI
82,Fossil DownsClosed,Closed,Fossil Downs Station,Australia,FSL,,
83,Fort Smith Regional,Large airport,Fort Smith,United States,FSM,KFSM,FSM
84,Haley Army AirfieldClosed,Closed,Fort Sheridan,United States,FSN,,
85,St Pierre,Medium airport,Saint-Pierre,Saint Pierre and Miquelon,FSP,LFVP,
86,RAF Kinloss,Medium airport,Kinloss,United Kingdom,FSS,EGQK,
87,Fort Stockton Pecos County,Medium airport,Fort Stockton,United States,FST,KFST,FST
88,Fort Sumner Municipal,Small airport,Fort Sumner,United States,FSU,KFSU,FSU
89,Mt. Fuji Shizuoka,Large airport,Makinohara / Shimada,Japan,FSZ,RJNS,
90,Futuna,Small airport,Futuna Island,Vanuatu,FTA,NVVF,
91,El Calafate,Medium airport,El Calafate,Argentina,FTE,SAWC,
92,Fitiuta,Medium airport,Fitiuta Village,American Samoa,FTI,NSFQ,FAQ
93,Godman Army Air Field,Medium airport,Fort Knox,United States,FTK,KFTK,FTK
94,Tôlanaro,Medium airport,Tôlanaro,Madagascar,FTU,FMSD,
95,Fort Worth Meacham International,Large airport,Fort Worth,United States,FTW,KFTW,FTW
96,Owando,Medium airport,Owando,Congo (Brazzaville),FTX,FCOO,
97,Fulton County Brown Field,Medium airport,Atlanta,United States,FTY,KFTY,FTY
98,FullebornClosed,Closed,Fulleborn,Papua New Guinea,FUB,,
99,Fuerteventura,Medium airport,Fuerteventura Island,Spain,FUE,GCFV,
0,Fuyang Xiguan,Medium airport,Fuyang,China,FUG,ZSFY,
1,Fukue,Medium airport,Goto,Japan,FUJ,RJFE,
2,Fukuoka,Large airport,Fukuoka,Japan,FUK,RJFF,
3,Fullerton Municipal,Small airport,Fullerton,United States,FUL,KFUL,FUL
4,Fuma,Small airport,Fuma,Papua New Guinea,FUM,AYFU,
5,Funafuti International,Medium airport,Funafuti,Tuvalu,FUN,NGFU,
6,Foshan Shadi,Medium airport,Foshan,China,FUO,ZGFS,
7,Pointe Vele,Medium airport,Futuna Island,Wallis and Futuna,FUT,NLWF,
8,Flora Valley,Small airport,,Australia,FVL,YFLO,
9,Fuvahmulah,Small airport,Fuvahmulah Island,Maldives,FVM,VRMR,
10,Oombulgurri,Small airport,Forrest River Mission,Australia,FVR,YFRV,
11,Fort Wayne International,Large airport,Fort Wayne,United States,FWA,KFWA,FWA
12,NAS Fort Worth JRB/Carswell Field,Medium airport,Fort Worth,United States,FWH,KNFW,NFW
13,Farewell,Small airport,Farewell,United States,FWL,,0AA4
14,HeliportClosed,Closed,Fort William,United Kingdom,FWM,,
15,Fort Lauderdale Executive,Medium airport,Fort Lauderdale,United States,FXE,KFXE,FXE
16,Flaxman Island AirstripClosed,Closed,Flaxman Island,United States,FXM,,
17,Cuamba,Small airport,Cuamba,Mozambique,FXO,FQCB,
18,Dongji Aiport,Medium airport,Fuyuan,China,FYJ,ZYFY,
