,Airport,Type,City,Country,IATA,ICAO,FAA
46,Mongu,Medium airport,Mongu,Zambia,MNR,FLMG,
47,Mansa,Small airport,Mansa,Zambia,MNS,FLMA,
48,MintoClosed,Closed,Minto,United States,MNT,,
49,Mawlamyine,Small airport,Mawlamyine,Burma,MNU,VYMM,
50,Mountain ValleyClosed,Closed,Mountain Valley,Australia,MNV,,
51,Macdonald DownsClosed,Closed,,Australia,MNW,YMDS,
52,Manicoré,Medium airport,Manicoré,Brazil,MNX,SBMY,
53,Mono,Small airport,Stirling Island,Solomon Islands,MNY,AGGO,
54,Manassas Regional/Harry P. Davis Field,Small airport,Manassas,United States,MNZ,KHEF,HEF
55,Orestes Acosta,Medium airport,Moa,Cuba,MOA,MUMO,
56,Mobile Regional,Large airport,Mobile,United States,MOB,KMOB,MOB
57,Mário Ribeiro,Medium airport,Montes Claros,Brazil,MOC,SBMK,
58,Modesto City Co-Harry Sham Field,Medium airport,Modesto,United States,MOD,KMOD,MOD
59,Momeik,Medium airport,,Burma,MOE,VYMO,
60,Maumere(Wai Oti),Small airport,Maumere-Flores Island,Indonesia,MOF,WATC,
61,Mong Hsat,Medium airport,Mong Hsat,Burma,MOG,VYMS,
62,MohanbariClosed,Closed,Mohanbari,India,MOH,,
63,Mitiaro Island,Small airport,Mitiaro Island,Cook Islands,MOI,NCMR,
64,Moengo Airstrip,Small airport,Moengo,Suriname,MOJ,SMMO,
65,MankonoClosed,Closed,Mankono,Côte d'Ivoire,MOK,,
66,Molde,Medium airport,Årø,Norway,MOL,ENML,
67,Letfotar,Small airport,Moudjeria,Mauritania,MOM,GQNL,
68,Mount Cook,Medium airport,,New Zealand,MON,NZMC,
69,Moomba,Small airport,,Australia,MOO,YOOM,
70,Mount Pleasant MunicipalClosed,Closed,"Mount Pleasant, MI",United States,MOP,,
71,Morondava,Medium airport,,Madagascar,MOQ,FMMV,
72,Moore-MurrellClosed,Closed,Morristown,United States,MOR,,
73,Minot International,Medium airport,Minot,United States,MOT,KMOT,MOT
74,Mountain Village,Small airport,Mountain Village,United States,MOU,PAMO,MOU
75,Moranbah,Medium airport,Moranbah,Australia,MOV,YMRB,
76,Moscow Metropolitan AreaClosed,Closed,Moscow,Russia,MOW,,
77,MunicipalClosed,Closed,Morris,United States,MOX,,
78,MonterreyClosed,Closed,Monterrey,Colombia,MOY,,
79,Moorea,Medium airport,,French Polynesia,MOZ,NTTM,
80,Katima Mulilo,Small airport,Mpacha,Namibia,MPA,FYKM,
81,Muko Muko,Small airport,Muko Muko-Sumatra Island,Indonesia,MPC,WIPU,
82,GriswoldClosed,Closed,Madison,United States,MPE,,
83,Mapoda,Small airport,Mapoda,Papua New Guinea,MPF,AYPO,
84,Makini,Small airport,Makini,Papua New Guinea,MPG,AYMJ,
85,Godofredo P. Ramos,Medium airport,Malay,Philippines,MPH,RPVE,
86,Mamitupo,Small airport,Mamitupo,Panama,MPI,,
87,Petit Jean ParkClosed,Closed,Morrilton,United States,MPJ,,
88,MokpoClosed,Closed,Gonghang-ro (Mokpo),South Korea,MPK,RKJM,
89,Montpellier-Méditerranée,Medium airport,Montpellier/Méditerranée,France,MPL,LFMT,
90,Maputo,Medium airport,Maputo,Mozambique,MPM,FQMA,
91,Mount Pleasant,Medium airport,Mount Pleasant,Falkland Islands,MPN,EGYP,
92,Mt PoconoClosed,Closed,Mt Pocono,United States,MPO,,
93,MulatupoClosed,Closed,Mulatupo,Panama,MPP,,
94,Ma'AnClosed,Closed,Maan,Jordan,MPQ,,
95,McphersonClosed,Closed,Mcpherson,United States,MPR,,
96,Mount PleasantClosed,Closed,Mount Pleasant,United States,MPS,,
97,Mapua(Mabua),Small airport,Tatau Island,Papua New Guinea,MPU,AYMZ,
98,Edward F Knapp State,Medium airport,Barre/Montpelier,United States,MPV,KMPV,MPV
99,Mariupol International,Medium airport,Mariupol,Ukraine,MPW,UKCM,
0,Miyanmin,Small airport,Miyanmin,Papua New Guinea,MPX,AYIY,
1,Maripasoula,Small airport,Maripasoula,French Guiana,MPY,SOOA,
2,Mount Pleasant Municipal,Small airport,Mount Pleasant,United States,MPZ,KMPZ,MPZ
3,Mandora,Small airport,Mandora,Australia,MQA,YMDI,
4,Macomb Municipal,Small airport,Macomb,United States,MQB,KMQB,MQB
5,Miquelon,Medium airport,Miquelon,Saint Pierre and Miquelon,MQC,LFVM,
6,Maquinchao,Small airport,Maquinchao,Argentina,MQD,SAVQ,
7,Marqua,Small airport,Marqua,Australia,MQE,YMQA,
8,Magnitogorsk International,Medium airport,Magnitogorsk,Russia,MQF,USCM,
9,Midgard,Small airport,Midgard,Namibia,MQG,FYMG,
10,Minaçu,Medium airport,Minaçu,Brazil,MQH,SWIQ,
11,Quincy RegionalClosed,Closed,"Quincy, MA",United States,MQI,,
12,MerkezClosed,Closed,Balikesir,Turkey,MQJ,,
13,San Matías,Small airport,San Matías,Bolivia,MQK,SLTI,
14,Mildura,Medium airport,Mildura,Australia,MQL,YMIA,
15,Mardin,Medium airport,Mardin,Turkey,MQM,LTCR,
16,"Mo i Rana, Røssvoll",Medium airport,Mo i Rana,Norway,MQN,ENRA,
17,Malam,Small airport,Malam,Papua New Guinea,MQO,AYMQ,
18,Kruger Mpumalanga International,Medium airport,Mpumalanga,South Africa,MQP,FAKN,
19,Moundou,Medium airport,,Chad,MQQ,FTTD,
20,MosqueraClosed,Closed,Mosquera,Colombia,MQR,,
21,Mustique,Medium airport,Mustique Island,Saint Vincent and the Grenadines,MQS,TVSM,
22,Sawyer International,Medium airport,Marquette,United States,MQT,KSAW,SAW
23,Mariquita,Medium airport,Mariquita,Colombia,MQU,SKQU,
24,Mostaganem,Small airport,,Algeria,MQV,DA14,
25,Telfair-WheelerClosed,Closed,Mc Rae,United States,MQW,,
26,Mekele,Medium airport,,Ethiopia,MQX,HAMK,
27,Smyrna,Medium airport,Smyrna,United States,MQY,KMQY,MQY
28,Margaret River,Small airport,,Australia,MQZ,YMGT,
29,Misratah,Small airport,Misratah,Libya,MRA,HLMS,
30,Eastern WV Regional/Shepherd Field,Medium airport,Martinsburg,United States,MRB,KMRB,MRB
31,Maury County,Small airport,Columbia/Mount Pleasant,United States,MRC,KMRC,MRC
32,Alberto Carnevalli,Medium airport,Mérida,Venezuela,MRD,SVMD,
33,Mara Serena Lodge Airstrip,Medium airport,Masai Mara,Kenya,MRE,HKMS,
34,Marfa Municipal,Small airport,Marfa,United States,MRF,KMRF,MRF
35,Mareeba,Medium airport,,Australia,MRG,YMBA,
36,Merrill Field,Medium airport,Anchorage,United States,MRI,PAMR,MRI
37,ColonClosed,Closed,Marcala,Honduras,MRJ,MHMA,
38,Marco Island,Small airport,Marco Island,United States,MRK,KMKY,MKY
39,Miners LakeClosed,Closed,Miners Lake,Australia,MRL,,
40,Manari,Small airport,Manari,Papua New Guinea,MRM,AYMA,
41,Foothills RegionalClosed,Closed,"Morganton, NC",United States,MRN,,
42,Hood,Medium airport,Masterton,New Zealand,MRO,NZMS,
43,Marla,Small airport,,Australia,MRP,YALA,
44,Marinduque,Medium airport,Gasan,Philippines,MRQ,RPUW,
45,Jose Maria Velasco Ibarra,Medium airport,Macará,Ecuador,MRR,SEMA,
46,Marseille Provence,Large airport,Marseille,France,MRS,LFML,
47,MoroakClosed,Closed,Moroak,Australia,MRT,,
48,Sir Seewoosagur Ramgoolam International,Medium airport,Port Louis,Mauritius,MRU,FIMP,
49,Mineralnyye Vody,Medium airport,Mineralnyye Vody,Russia,MRV,URMM,
50,Lolland Falster Maribo,Medium airport,Lolland Falster / Maribo,Denmark,MRW,EKMB,
51,Mahshahr,Medium airport,,Iran,MRX,OIAM,
52,Monterey Peninsula,Medium airport,Monterey,United States,MRY,KMRY,MRY
53,Moree,Medium airport,Moree,Australia,MRZ,YMOR,
54,Muskrat Dam,Medium airport,Muskrat Dam,Canada,MSA,CZMD,
55,Marigot Seaplane BaseClosed,Closed,Saint Martin,Guadeloupe,MSB,,
56,Falcon Field,Small airport,Mesa,United States,MSC,KFFZ,FFZ
57,Mt PleasantClosed,Closed,Mt Pleasant,United States,MSD,,
58,Kent InternationalClosed,Closed,Manston,United Kingdom,MSE,EGMH,
59,Mount SwanClosed,Closed,Mount Swan,Australia,MSF,,
60,MatsaileClosed,Closed,Matsaile,Lesotho,MSG,,
61,Masirah Air Base,Medium airport,Masirah,Oman,MSH,OOMA,
62,Masalembo,Small airport,Masalembo Island,Indonesia,MSI,,
63,Misawa Air Base,Medium airport,Misawa,Japan,MSJ,RJSM,
64,Mastic PointClosed,Closed,Mastic Point,Bahamas,MSK,,
65,Northwest Alabama Regional,Medium airport,Muscle Shoals,United States,MSL,KMSL,MSL
66,Masi Manimba,Small airport,Masi Manimba,Congo (Kinshasa),MSM,FZCV,
67,Dane County Regional Truax Field,Large airport,Madison,United States,MSN,KMSN,MSN
68,Missoula International,Medium airport,Missoula,United States,MSO,KMSO,MSO
69,Minneapolis-St Paul International/Wold-Chamberlain,Large airport,Minneapolis,United States,MSP,KMSP,MSP
70,Minsk National,Large airport,Minsk,Belarus,MSQ,UMMS,
71,Muş,Medium airport,Muş,Turkey,MSR,LTCK,
72,Massena International Richards Field,Medium airport,Massena,United States,MSS,KMSS,MSS
73,Maastricht Aachen,Large airport,Maastricht,Netherlands,MST,EHBK,
74,Moshoeshoe I International,Medium airport,Maseru,Lesotho,MSU,FXMM,
75,Sullivan County InternationalClosed,Closed,"Monticello, NY",United States,MSV,,
76,Massawa International,Medium airport,Massawa,Eritrea,MSW,HHMS,
77,Mossendjo,Small airport,Mossendjo,Congo (Brazzaville),MSX,FCMM,
78,Louis Armstrong New Orleans International,Large airport,New Orleans,United States,MSY,KMSY,MSY
79,Namibe,Medium airport,Namibe,Angola,MSZ,FNMO,
80,Matamata Glider,Small airport,,New Zealand,MTA,NZMA,
81,Montelibano,Small airport,Montelíbano,Colombia,MTB,SKML,
82,Selfridge Air National Guard Base,Medium airport,Mount Clemens,United States,MTC,KMTC,MTC
83,Mount Sanford Station,Small airport,,Australia,MTD,YMSF,
84,Monte Alegre,Small airport,Monte Alegre,Brazil,MTE,SNMA,
85,Mizan Teferi,Small airport,Mizan Teferi,Ethiopia,MTF,HAMT,
86,Vila Bela da Santíssima Trindade,Small airport,Vila Bela Da Santíssima Trindade,Brazil,MTG,SWVB,
87,The Florida Keys MarathonClosed,Closed,"Marathon, FL",United States,MTH,,
88,Mosteiros,Small airport,Vila do Mosteiros,Cape Verde,MTI,GVMT,
89,Montrose Regional,Medium airport,Montrose,United States,MTJ,KMTJ,MTJ
90,Makin Island,Small airport,Makin Island,Kiribati,MTK,NGMN,
91,Matekane Air StripClosed,Closed,Matekane,Lesotho,MTK,FXME,
92,Maitland,Small airport,,Australia,MTL,YMND,
93,Glenn L MartinClosed,Closed,Baltimore,United States,MTN,,
94,Coles County MemorialClosed,Closed,Mattoon,United States,MTO,,
95,Montauk AirportClosed,Closed,Montauk,United States,MTP,,
96,Mitchell,Small airport,,Australia,MTQ,YMIT,
97,Los Garzones,Medium airport,Montería,Colombia,MTR,SKMR,
98,Matsapha,Medium airport,Manzini,Eswatini,MTS,FDMS,
99,Minatitlán/Coatzacoalcos National,Medium airport,Minatitlán,Mexico,MTT,MMMT,
0,Montepuez,Small airport,Montepuez,Mozambique,MTU,,
1,Mota Lava,Small airport,Ablow,Vanuatu,MTV,NVSA,
2,Manitowoc County,Small airport,Manitowoc,United States,MTW,KMTW,MTW
3,Metro Field,Small airport,Fairbanks,United States,MTX,MTF,MTF
4,General Mariano Escobedo International,Large airport,Monterrey,Mexico,MTY,MMMY,
5,Bar Yehuda Airfield,Medium airport,Masada,Israel,MTZ,LLMZ,
6,Munda,Medium airport,,Solomon Islands,MUA,AGGM,
7,Maun,Medium airport,Maun,Botswana,MUB,FBMN,
8,Munich,Large airport,Munich,Germany,MUC,EDDM,
9,Mueda,Medium airport,Mueda,Mozambique,MUD,FQMD,
10,Waimea Kohala,Medium airport,Kamuela,United States,MUE,PHMU,MUE
11,Muting,Small airport,Muting,Indonesia,MUF,,
12,Mulege,Small airport,Mulege,Mexico,MUG,MMMG,
13,Mersa Matruh,Medium airport,Mersa Matruh,Egypt,MUH,HEMM,
14,Muir AAFClosed,Closed,Fort Indiantown,United States,MUI,,
15,Mui River,Small airport,Omo National Park,Ethiopia,MUJ,HAMR,
16,Mauke,Small airport,Mauke Island,Cook Islands,MUK,NCMK,
17,SpenceClosed,Closed,Moultrie,United States,MUL,,
18,Maturín,Medium airport,,Venezuela,MUN,SVMT,
19,Mountain Home Air Force Base,Large airport,Mountain Home,United States,MUO,KMUO,MUO
20,Mulga ParkClosed,Closed,,Australia,MUP,YMUP,
21,Muccan Station,Small airport,Muccan Station,Australia,MUQ,YMUC,
22,Marudi,Medium airport,Marudi,Malaysia,MUR,WBGM,
23,Minami Torishima,Small airport,,Japan,MUS,RJAM,
24,Muscatine MunicipalClosed,Closed,"Muscatine, IA",United States,MUT,,
25,Mount UnionClosed,Closed,Mount Union,United States,MUU,,
26,Mustin AlfClosed,Closed,Philadelphia,United States,MUV,,
27,Ghriss,Medium airport,,Algeria,MUW,DAOV,
28,Multan International,Medium airport,Multan,Pakistan,MUX,OPMT,
29,Mouyondzi,Small airport,Mouyondzi,Congo (Brazzaville),MUY,FCBM,
30,Musoma,Small airport,Musoma,Tanzania,MUZ,HTMU,
31,Reykjahlíð,Small airport,Myvatn,Iceland,MVA,BIRL,
32,M'Vengue El Hadj Omar Bongo Ondimba International,Medium airport,Franceville,Gabon,MVB,FOON,
33,Monroe County,Small airport,Monroeville,United States,MVC,KMVC,MVC
34,Carrasco International /General C L Berisso,Large airport,Montevideo,Uruguay,MVD,SUMU,
35,Montevideo-ChippewaClosed,Closed,"Montevideo, MN",United States,MVE,,
36,Dix-Sept Rosado,Medium airport,Mossoró,Brazil,MVF,SBMS,
37,MevangClosed,Closed,Mevang,Gabon,MVG,,
38,MacksvilleClosed,Closed,Macksville,Australia,MVH,,
39,ManetaiClosed,Closed,Manetai,Papua New Guinea,MVI,,
40,Mulka,Small airport,Mulka,Australia,MVK,YMUK,
41,Morrisville Stowe State,Small airport,Morrisville,United States,MVL,KMVL,MVL
42,KayentaClosed,Closed,"Kayenta, AZ",United States,MVM,,
43,Mt Vernon-OutlandClosed,Closed,Mt Vernon,United States,MVN,,
44,Mongo,Small airport,Mongo,Chad,MVO,FTTM,
45,Fabio Alberto Leon Bentley,Medium airport,Mitú,Colombia,MVP,SKMU,
46,Mogilev,Medium airport,Mogilev,Belarus,MVQ,UMOO,
47,Salak,Medium airport,Maroua,Cameroon,MVR,FKKL,
48,Mucuri,Small airport,Mucuri,Brazil,MVS,SNMU,
49,Mataiva,Medium airport,,French Polynesia,MVT,NTGV,
50,Musgrave,Small airport,Musgrave,Australia,MVU,YMGV,
51,Megève,Small airport,Verdun,France,MVV,LFHM,
52,Skagit Regional,Small airport,Burlington/Mount Vernon,United States,MVW,KBVS,BVS
53,Minvoul,Small airport,Minvoul,Gabon,MVX,FOGV,
54,Martha's Vineyard,Small airport,Martha's Vineyard,United States,MVY,KMVY,MVY
55,Masvingo International,Medium airport,Masvingo,Zimbabwe,MVZ,FVMV,
56,Veterans Of Southern Illinois,Small airport,Marion,United States,MWA,KMWA,MWA
57,Morawa,Small airport,,Australia,MWB,YMRW,
58,Lawrence J TimmermanClosed,Closed,Milwaukee,United States,MWC,,
59,Mianwali Air Base,Medium airport,Mianwali,Pakistan,MWD,OPMI,
60,Maewo-Naone,Small airport,Maewo Island,Vanuatu,MWF,NVSN,
61,Marawaka,Small airport,Marawaka,Papua New Guinea,MWG,AYMW,
62,Grant County International,Medium airport,Moses Lake,United States,MWH,KMWH,MWH
63,Maramuni,Small airport,Maramuni,Papua New Guinea,MWI,AYRM,
64,Matthews Ridge,Small airport,Matthews Ridge,Guyana,MWJ,SYMR,
65,Tarempa,Small airport,Matak Island,Indonesia,MWK,WIOM,
66,Mineral Wells,Small airport,Mineral Wells,United States,MWL,KMWL,MWL
67,Windom MunicipalClosed,Closed,"Windom, MN",United States,MWM,,
68,Mwadui,Small airport,Mwadui,Tanzania,MWN,HTMD,
69,Hook FieldClosed,Closed,"Middletown, Ohio",United States,MWO,,
70,Mountain,Small airport,Mountain,Nepal,MWP,,
71,Magway,Small airport,Magway,Burma,MWQ,VYMW,
72,Mount WilsonClosed,Closed,Mount Wilson,United States,MWS,,
73,Moolawatana,Small airport,Moolawatana Station,Australia,MWT,YMWT,
74,MussauClosed,Closed,Mussau,Papua New Guinea,MWU,,
75,MundulkiriClosed,Closed,Mundulkiri,Cambodia,MWV,,
76,Muan International,Large airport,Piseo-ri (Muan),South Korea,MWX,RKJB,
77,Miranda Downs,Small airport,Miranda Downs,Australia,MWY,,
78,Mwanza,Medium airport,Mwanza,Tanzania,MWZ,HTMW,
79,MunicipalClosed,Closed,Manila,United States,MXA,,
80,Andi Jemma,Small airport,Masamba-Celebes Island,Indonesia,MXB,WAWM,
81,MonticelloClosed,Closed,Monticello,United States,MXC,,
82,Marion Downs,Small airport,,Australia,MXD,YMWX,
83,MaxtonClosed,Closed,Maxton,United States,MXE,,
84,Maxwell AFBClosed,Closed,"Montgomery, AL",United States,MXF,,
85,MarlboroughClosed,Closed,Marlborough,United States,MXG,,
86,Moro,Small airport,Moro,Papua New Guinea,MXH,AYMR,
87,Mati National,Medium airport,,Philippines,MXI,RPMQ,
88,Minna,Medium airport,Minna,Nigeria,MXJ,DNMN,
89,Mindik,Small airport,Mindik,Papua New Guinea,MXK,AYMI,
90,General Rodolfo Sánchez Taboada International,Medium airport,Mexicali,Mexico,MXL,MMML,
91,Morombe,Medium airport,,Madagascar,MXM,FMSR,
92,Morlaix-Ploujean,Medium airport,Morlaix/Ploujean,France,MXN,LFRU,
93,Monticello MunicipalClosed,Closed,"Monticello, IA",United States,MXO,,
94,Malpensa International,Large airport,Milan,Italy,MXP,LIMC,
95,Mitchell RiverClosed,Closed,Mitchell River,Australia,MXQ,,
96,Maota,Small airport,Maota,Samoa,MXS,NSMA,
97,Maintirano,Small airport,Maintirano,Madagascar,MXT,FMMO,
98,Mullewa,Small airport,,Australia,MXU,YMWA,
99,Mörön,Medium airport,Mörön,Mongolia,MXV,ZMMN,
0,Mandalgobi,Small airport,Mandalgobi,Mongolia,MXW,ZMMG,
1,Mora,Medium airport,,Sweden,MXX,ESKM,
2,Mc Carthy,Small airport,Mccarthy,United States,MXY,PAMX,15Z
3,Meixian,Small airport,Meixian,China,MXZ,ZGMX,
4,Moruya,Medium airport,Moruya,Australia,MYA,YMRY,
5,Mayumba,Small airport,Mayumba,Gabon,MYB,FOOY,
6,Escuela Mariscal Sucre,Medium airport,Maracay,Venezuela,MYC,SVBS,
7,Malindi,Medium airport,Malindi,Kenya,MYD,HKML,
8,Miyakejima,Medium airport,Miyakejima,Japan,MYE,RJTQ,
9,Montgomery-Gibbs Executive,Small airport,San Diego,United States,MYF,KMYF,MYF
10,Mayaguana,Medium airport,Mayaguana,Bahamas,MYG,MYMM,
11,Marble CanyonClosed,Closed,Marble Canyon,United States,MYH,,
12,Murray Island,Small airport,Murray Island,Australia,MYI,YMAE,
13,Matsuyama,Medium airport,Matsuyama,Japan,MYJ,RJOM,
14,May Creek,Small airport,May Creek,United States,MYK,MYK,MYK
15,McCall Municipal,Medium airport,McCall,United States,MYL,KMYL,MYL
16,Monkey Mountain,Small airport,Monkey Mountain,Guyana,MYM,SYMM,
17,Mareb,Small airport,Mareb,Yemen,MYN,OYMB,
18,Camballin,Small airport,Myroodah,Australia,MYO,,
19,Mary,Medium airport,Mary,Turkmenistan,MYP,UTAM,
20,Mysore,Small airport,Mysore,India,MYQ,VOMY,
21,Myrtle Beach International,Medium airport,Myrtle Beach,United States,MYR,KMYR,MYR
22,MoyaleClosed,Closed,Moyale,Ethiopia,MYS,,
23,Myitkyina,Medium airport,Myitkyina,Burma,MYT,VYMK,
24,Mekoryuk,Medium airport,Mekoryuk,United States,MYU,PAMY,MYU
25,Yuba County,Medium airport,Marysville,United States,MYV,KMYV,MYV
26,Mtwara,Medium airport,Mtwara,Tanzania,MYW,HTMT,
27,Menyamya,Small airport,Menyamya,Papua New Guinea,MYX,AYMC,
28,Miri,Medium airport,Miri,Malaysia,MYY,WBGR,
29,Monkey Bay,Small airport,Monkey Bay,Malawi,MYZ,FWMY,
30,MuzaffarnagarClosed,Closed,Muzaffarnagar,India,MZA,,
31,Mocímboa da Praia,Medium airport,Mocímboa da Praia,Mozambique,MZB,FQMP,
32,Mitzic,Small airport,Mitzic,Gabon,MZC,FOOM,
33,Méndez,Small airport,Santiago de Méndez,Ecuador,MZD,,
34,ManateeClosed,Closed,,Belize,MZE,,
35,Wild Coast SunClosed,Closed,Mzamba,South Africa,MZF,,
36,Makung,Medium airport,Makung City,Taiwan,MZG,RCQC,
37,Amasya Merzifon,Small airport,Amasya,Turkey,MZH,LTAP,
38,Mopti,Medium airport,,Mali,MZI,GAMB,
39,Pinal Airpark,Small airport,Marana,United States,MZJ,KMZJ,MZJ
40,Marakei,Small airport,Marakei,Kiribati,MZK,NGMK,
41,La Nubia,Medium airport,Manizales,Colombia,MZL,SKMZ,
42,Metz-Frescaty (BA 128) Air BaseClosed,Closed,Metz/Frescaty,France,MZM,LFSF,
43,MinjClosed,Closed,Minj,Papua New Guinea,MZN,,
44,Sierra Maestra,Medium airport,Manzanillo,Cuba,MZO,MUMZ,
45,Motueka,Small airport,,New Zealand,MZP,NZMK,
46,Mkuze,Medium airport,Mkuze,South Africa,MZQ,FAMU,
47,Mazar I Sharif,Medium airport,,Afghanistan,MZR,OAMS,
48,Mostyn,Small airport,Mostyn,Malaysia,MZS,,
49,General Rafael Buelna International,Medium airport,Mazatlán,Mexico,MZT,MMMZ,
50,Muzaffarpur,Medium airport,,India,MZU,VEMZ,
51,Mulu,Medium airport,Mulu,Malaysia,MZV,WBMU,
52,Mecheria,Medium airport,Mecheria,Algeria,MZW,DAAY,
53,MenaClosed,Closed,Mena,Ethiopia,MZX,,
54,Mossel Bay,Small airport,Mossel Bay,South Africa,MZY,FAMO,
55,Marion Municipal,Small airport,Marion,United States,MZZ,KMZZ,MZZ
0,Narrabri,Medium airport,Narrabri,Australia,NAA,YNBR,
1,Albany NASClosed,Closed,"Albany, GA",United States,NAB,,
2,Naracoorte,Small airport,,Australia,NAC,YNRC,
3,Macanal,Small airport,Macanal,Colombia,NAD,,
4,Natitingou,Small airport,Natitingou,Benin,NAE,DBBN,
5,Banaina,Small airport,Banaina-Borneo Island,Indonesia,NAF,,
6,Dr. Babasaheb Ambedkar International,Medium airport,Naqpur,India,NAG,VANP,
7,Naha,Medium airport,Tahuna-Sangihe Island,Indonesia,NAH,WAMH,
8,Annai,Small airport,Annai,Guyana,NAI,SYAN,
9,Nakhchivan,Medium airport,Nakhchivan,Azerbaijan,NAJ,UBBN,
10,Nakhon Ratchasima,Medium airport,,Thailand,NAK,VTUQ,
11,Nalchik,Medium airport,Nalchik,Russia,NAL,URMN,
12,Namlea,Small airport,Namlea-Buru Island,Indonesia,NAM,WAPR,
13,Nadi International,Medium airport,Nadi,Fiji,NAN,NFFN,
14,Nanchong,Small airport,Nanchong,China,NAO,ZUNC,
15,Naples International,Large airport,Nápoli,Italy,NAP,LIRN,
16,Qaanaaq,Small airport,Qaanaaq,Greenland,NAQ,BGQQ,
17,Puerto Nare,Small airport,Armenia,Colombia,NAR,SKPN,
18,Lynden Pindling International,Large airport,Nassau,Bahamas,NAS,MYNN,
19,Governador Aluízio Alves International,Large airport,Natal,Brazil,NAT,SBSG,
20,Napuka Island,Small airport,Napuka Island,French Polynesia,NAU,NTGN,
21,Nevşehir Kapadokya,Small airport,Nevşehir,Turkey,NAV,LTAZ,
22,Narathiwat,Medium airport,,Thailand,NAW,VTSC,
23,Beijing Nanyuan,Large airport,Beijing,China,NAY,ZBNY,
24,Nana,Small airport,Star Harbor,Solomon Islands,NAZ,AGNA,
25,Nambaiyufa,Small airport,Nambaiyufa,Papua New Guinea,NBA,AYNY,
26,Barranco Minas,Small airport,Barranco Minas,Colombia,NBB,SKBM,
27,Begishevo,Medium airport,Nizhnekamsk,Russia,NBC,UWKE,
28,Enfidha - Hammamet International,Large airport,Enfidha,Tunisia,NBE,DTNH,
29,New Orleans NAS JRB/Alvin Callender Field,Medium airport,New Orleans,United States,NBG,KNBG,NBG
30,Nambucca Heads,Small airport,Nambucca Heads,Australia,NBH,YNHS,
31,San Blas,Small airport,Wannukandi,Panama,NBL,MPWN,
32,Jomo Kenyatta International,Large airport,Nairobi,Kenya,NBO,HKJK,
33,Battery Pk City/N. CovClosed,Closed,New York,United States,NBP,,
34,NambourClosed,Closed,Nambour,Australia,NBR,,
35,Changbaishan,Medium airport,Baishan,China,NBS,ZYBS,
36,Nas Glenview (closed)Closed,Closed,"Glenview, Il",United States,NBU,,
37,Cana BravaClosed,Closed,Cana Brava,Brazil,NBV,,
38,Leeward Point Field,Medium airport,Guantanamo Bay Naval Station,Cuba,NBW,MUGM,
39,Nabire,Medium airport,Nabire-Papua Island,Indonesia,NBX,WABI,
40,North Caicos,Medium airport,,Turks and Caicos Islands,NCA,MBNC,
41,Nice-Côte d'Azur,Large airport,Nice,France,NCE,LFMN,
42,Nuevo Casas Grandes,Small airport,,Mexico,NCG,MMCG,
43,Nachingwea,Small airport,Nachingwea,Tanzania,NCH,HTNA,
44,Necocli,Small airport,Necocli,Colombia,NCI,SKNC,
45,Sunchales Aeroclub,Small airport,Sunchales,Argentina,NCJ,SAFS,
46,Newcastle,Large airport,Newcastle,United Kingdom,NCL,EGNT,
47,Chenega Bay,Small airport,Chenega,United States,NCN,PFCB,C05
48,Quonset State,Medium airport,North Kingstown,United States,NCO,KOQU,OQU
49,Cubi Pt NASClosed,Closed,Luzon Is,Philippines,NCP,,
50,Atlanta NasClosed,Closed,"Marietta, GA",United States,NCQ,,
51,San Carlos,Small airport,San Carlos,Nicaragua,NCR,MNSC,
52,Newcastle,Medium airport,Newcastle,South Africa,NCS,FANC,
53,Guanacaste,Small airport,Nicoya/Guanacate,Costa Rica,NCT,MRNC,
54,Nukus,Small airport,Nukus,Uzbekistan,NCU,UTNN,
55,Annecy-Haute-Savoie-Mont Blanc,Medium airport,Annecy/Meythet,France,NCY,LFLP,
56,Bandanaira,Airport,Banda-Naira Island,Indonesia,NDA,WAPC,
57,Nouadhibou International,Medium airport,Nouadhibou,Mauritania,NDB,GQPP,
58,Nanded,Medium airport,Nanded,India,NDC,VAND,
59,Sumbe,Medium airport,Sumbe,Angola,NDD,FNSU,
60,Mandera,Small airport,Mandera,Kenya,NDE,HKMA,
61,Ndalatandos,Small airport,Ndalatandos,Angola,NDF,,
62,Qiqihar Sanjiazi,Medium airport,Qiqihar,China,NDG,ZYQQ,
63,Namudi,Small airport,Namudi,Papua New Guinea,NDI,AYNJ,
64,N'Djamena International,Medium airport,N'Djamena,Chad,NDJ,FTTJ,
65,Namorik Atoll,Small airport,Namorik Atoll,Marshall Islands,NDK,,
66,N'Délé,Small airport,N'Délé,Central African Republic,NDL,FEFN,
67,Mendi,Small airport,Mendi,Ethiopia,NDM,HAMN,
68,Nadunumu,Small airport,Nadunumu,Papua New Guinea,NDN,AYNC,
69,Ellyson NASClosed,Closed,"Pensacola, FL",United States,NDP,,
70,Nador International,Medium airport,Nador,Morocco,NDR,GMMW,
71,Sandstone,Small airport,Sandstone,Australia,NDS,YSAN,
72,Rundu,Medium airport,Rundu,Namibia,NDU,FYRU,
73,USN HeliportClosed,Closed,"Anacostia, DC",United States,NDV,,
74,Sanday,Small airport,Sanday,United Kingdom,NDY,EGES,
75,Necochea,Medium airport,Necochea,Argentina,NEC,SAZO,
76,Neftekamsk,Small airport,Neftekamsk,Russia,NEF,UWUF,
